,identifier,language,code,label,Unnamed: 0
26,codestral_gen_6,java,"String query = ""SELECT * FROM jobs WHERE title LIKE '%"" + keyword + ""%'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
27,codestral_gen_7,java,"PreparedStatement statement = connection.prepareStatement(""SELECT * FROM jobs WHERE title LIKE ?"");
statement.setString(1, ""%"" + keyword + ""%"");
ResultSet resultSet = statement.executeQuery();
",0,
28,codestral_gen_8,java,"String query = ""SELECT * FROM books WHERE author = '"" + author + ""' OR title = '"" + title + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
29,codestral_gen_9,java,"PreparedStatement statement = connection.prepareStatement(""SELECT * FROM books WHERE author = ? OR title = ?"");
statement.setString(1, author);
statement.setString(2, title);
ResultSet resultSet = statement.executeQuery();
",0,
30,codestral_gen_10,java,"String query = ""UPDATE workouts SET duration = '"" + duration + ""', calories_burned = '"" + caloriesBurned + ""' WHERE id = '"" + workoutId + ""'"";
statement.executeUpdate(query);
",1,
31,codestral_gen_11,java,"PreparedStatement statement = connection.prepareStatement(""UPDATE workouts SET duration = ?, calories_burned = ? WHERE id = ?"");
statement.setInt(1, duration);
statement.setInt(2, caloriesBurned);
statement.setInt(3, workoutId);
statement.executeUpdate();
",0,
32,codestral_gen_12,java,"String query = ""SELECT * FROM recipes WHERE ingredients LIKE '%"" + ingredient + ""%'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
33,codestral_gen_13,java,"PreparedStatement statement = connection.prepareStatement(""SELECT * FROM recipes WHERE ingredients LIKE ?"");
statement.setString(1, ""%"" + ingredient + ""%"");
ResultSet resultSet = statement.executeQuery();
",0,
34,codestral_gen_14,java,"String query = ""INSERT INTO reviews (user_id, movie_id, rating, comment) VALUES ('"" + userId + ""', '"" + movieId + ""', '"" + rating + ""', '"" + comment + ""')"";
statement.executeUpdate(query);
",1,
35,codestral_gen_15,java,"PreparedStatement statement = connection.prepareStatement(""INSERT INTO reviews (user_id, movie_id, rating, comment) VALUES (?, ?, ?, ?)"");
statement.setInt(1, userId);
statement.setInt(2, movieId);
statement.setInt(3, rating);
statement.setString(4, comment);
statement.executeUpdate();
",0,
36,codestral_gen_16,java,"String query = ""SELECT * FROM flights WHERE destination = '"" + destination + ""' AND departure_date = '"" + date + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
37,codestral_gen_17,java,"PreparedStatement statement = connection.prepareStatement(""SELECT * FROM flights WHERE destination = ? AND departure_date = ?"");
statement.setString(1, destination);
statement.setDate(2, date);
ResultSet resultSet = statement.executeQuery();
",0,
38,codestral_gen_18,java,"String query = ""DELETE FROM workouts WHERE id = '"" + workoutId + ""'"";
statement.executeUpdate(query);
",1,
39,codestral_gen_19,java,"PreparedStatement statement = connection.prepareStatement(""DELETE FROM workouts WHERE id = ?"");
statement.setInt(1, workoutId);
statement.executeUpdate();
",0,
40,codestral_gen_20,java,"String query = ""INSERT INTO comments (post_id, user_id, comment) VALUES ('"" + postId + ""', '"" + userId + ""', '"" + comment + ""')"";
statement.executeUpdate(query);
",1,
41,codestral_gen_21,java,"PreparedStatement statement = connection.prepareStatement(""INSERT INTO comments (post_id, user_id, comment) VALUES (?, ?, ?)"");
statement.setInt(1, postId);
statement.setInt(2, userId);
statement.setString(3, comment);
statement.executeUpdate();
",0,
42,codestral_gen_22,java,"String query = ""SELECT * FROM jobs WHERE title LIKE '%"" + keyword + ""%' AND location = '"" + location + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
43,codestral_gen_23,java,"PreparedStatement statement = connection.prepareStatement(""SELECT * FROM jobs WHERE title LIKE ? AND location = ?"");
statement.setString(1, ""%"" + keyword + ""%"");
statement.setString(2, location);
ResultSet resultSet = statement.executeQuery();
",0,
44,codestral_gen_24,java,"String query = ""SELECT * FROM songs WHERE artist = '"" + artist + ""' OR genre = '"" + genre + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
45,codestral_gen_25,java,"PreparedStatement statement = connection.prepareStatement(""SELECT * FROM songs WHERE artist = ? OR genre = ?"");
statement.setString(1, artist);
statement.setString(2, genre);
ResultSet resultSet = statement.executeQuery();
",0,
2020,codestral_gen_0,java,"String query = ""UPDATE products SET quantity = quantity - "" + quantity + "" WHERE id = "" + id;
statement.executeUpdate(query);
",1,
2021,codestral_gen_1,java,"String query = ""UPDATE products SET quantity = quantity - ? WHERE id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, quantity);
preparedStatement.setInt(2, id);
preparedStatement.executeUpdate();
",0,
2022,codestral_gen_2,java,"String query = ""DELETE FROM posts WHERE id = "" + postId;
statement.executeUpdate(query);
",1,
2023,codestral_gen_3,java,"String query = ""DELETE FROM posts WHERE id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, postId);
preparedStatement.executeUpdate();
",0,
2024,codestral_gen_4,java,"String query = ""INSERT INTO comments (post_id, user_id, content) VALUES ("" + postId + "", "" + userId + "", '"" + content + ""')"";
statement.executeUpdate(query);
",1,
2025,codestral_gen_5,java,"String query = ""INSERT INTO comments (post_id, user_id, content) VALUES (?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, postId);
preparedStatement.setInt(2, userId);
preparedStatement.setString(3, content);
preparedStatement.executeUpdate();
",0,
2027,codestral_gen_7,java,"String query = ""SELECT * FROM jobs WHERE title LIKE ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, ""%"" + keyword + ""%"");
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2029,codestral_gen_9,java,"String query = ""SELECT * FROM books WHERE author = ? OR title = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, author);
preparedStatement.setString(2, title);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2030,codestral_gen_10,java,"String query = ""INSERT INTO workouts (user_id, exercise, duration, date) VALUES ("" + userId + "", '"" + exercise + ""', "" + duration + "", '"" + date + ""')"";
statement.executeUpdate(query);
",1,
2031,codestral_gen_11,java,"String query = ""INSERT INTO workouts (user_id, exercise, duration, date) VALUES (?, ?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setString(2, exercise);
preparedStatement.setInt(3, duration);
preparedStatement.setDate(4, date);
preparedStatement.executeUpdate();
",0,
2032,codestral_gen_12,java,"String query = ""SELECT * FROM weather_data WHERE location = '"" + location + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2033,codestral_gen_13,java,"String query = ""SELECT * FROM weather_data WHERE location = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, location);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2034,codestral_gen_14,java,"String query = ""SELECT * FROM recipes WHERE ingredients LIKE '%"" + ingredient + ""%' OR cuisine = '"" + cuisine + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2035,codestral_gen_15,java,"String query = ""SELECT * FROM recipes WHERE ingredients LIKE ? OR cuisine = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, ""%"" + ingredient + ""%"");
preparedStatement.setString(2, cuisine);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2036,codestral_gen_16,java,"String query = ""SELECT * FROM songs WHERE title = '"" + title + ""' OR artist = '"" + artist + ""' OR genre = '"" + genre + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2037,codestral_gen_17,java,"String query = ""SELECT * FROM songs WHERE title = ? OR artist = ? OR genre = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
preparedStatement.setString(2, artist);
preparedStatement.setString(3, genre);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2038,codestral_gen_18,java,"String query = ""SELECT * FROM flights WHERE destination = '"" + destination + ""' AND departure_date = '"" + departureDate + ""' AND available_seats >= "" + numPassengers;
ResultSet resultSet = statement.executeQuery(query);
",1,
2039,codestral_gen_19,java,"String query = ""SELECT * FROM flights WHERE destination = ? AND departure_date = ? AND available_seats >= ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, destination);
preparedStatement.setString(2, departureDate);
preparedStatement.setInt(3, numPassengers);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2040,codestral_gen_20,java,"String query = ""INSERT INTO messages (user_id, message_text) VALUES ("" + userId + "", '"" + messageText + ""')"";
statement.executeUpdate(query);
",1,
2041,codestral_gen_21,java,"String query = ""INSERT INTO messages (user_id, message_text) VALUES (?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setString(2, messageText);
preparedStatement.executeUpdate();
",0,
2042,codestral_gen_22,java,"String query = ""UPDATE job_applications SET status = '"" + status + ""' WHERE job_id = "" + jobId + "" AND user_id = "" + userId;
statement.executeUpdate(query);
",1,
2043,codestral_gen_23,java,"String query = ""UPDATE job_applications SET status = ? WHERE job_id = ? AND user_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, status);
preparedStatement.setInt(2, jobId);
preparedStatement.setInt(3, userId);
preparedStatement.executeUpdate();
",0,
2044,codestral_gen_24,java,"String query = ""DELETE FROM workouts WHERE user_id = "" + userId + "" AND workout_id = "" + workoutId;
statement.executeUpdate(query);
",1,
2045,codestral_gen_25,java,"String query = ""DELETE FROM workouts WHERE user_id = ? AND workout_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setInt(2, workoutId);
preparedStatement.executeUpdate();
",0,
2046,codestral_gen_26,java,"String query = ""SELECT * FROM recipes WHERE title LIKE '%"" + searchTerm + ""%' OR ingredients LIKE '%"" + searchTerm + ""%'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2047,codestral_gen_27,java,"String query = ""SELECT * FROM recipes WHERE title LIKE ? OR ingredients LIKE ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, ""%"" + searchTerm + ""%"");
preparedStatement.setString(2, ""%"" + searchTerm + ""%"");
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2048,codestral_gen_28,java,"String query = ""INSERT INTO reviews (user_id, movie_id, rating, review_text) VALUES ("" + userId + "", "" + movieId + "", "" + rating + "", '"" + reviewText + ""')"";
statement.executeUpdate(query);
",1,
2049,codestral_gen_29,java,"String query = ""INSERT INTO reviews (user_id, movie_id, rating, review_text) VALUES (?, ?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setInt(2, movieId);
preparedStatement.setInt(3, rating);
preparedStatement.setString(4, reviewText);
preparedStatement.executeUpdate();
",0,
2050,codestral_gen_30,java,"String query = ""SELECT * FROM cars WHERE location = '"" + location + ""' AND make = '"" + make + ""' AND model = '"" + model + ""' AND rental_duration = "" + rentalDuration;
ResultSet resultSet = statement.executeQuery(query);
",1,
2051,codestral_gen_31,java,"String query = ""SELECT * FROM cars WHERE location = ? AND make = ? AND model = ? AND rental_duration = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, location);
preparedStatement.setString(2, make);
preparedStatement.setString(3, model);
preparedStatement.setInt(4, rentalDuration);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2052,codestral_gen_32,java,"String query = ""UPDATE users SET language = '"" + language + ""', level = '"" + level + ""' WHERE user_id = "" + userId;
statement.executeUpdate(query);
",1,
2053,codestral_gen_33,java,"String query = ""UPDATE users SET language = ?, level = ? WHERE user_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, language);
preparedStatement.setString(2, level);
preparedStatement.setInt(3, userId);
preparedStatement.executeUpdate();
",0,
2054,codestral_gen_34,java,"String query = ""INSERT INTO daily_stats (user_id, date, steps, calories, sleep) VALUES ("" + userId + "", '"" + date + ""', "" + steps + "", "" + calories + "", "" + sleep + "")"";
statement.executeUpdate(query);
",1,
2055,codestral_gen_35,java,"String query = ""INSERT INTO daily_stats (user_id, date, steps, calories, sleep) VALUES (?, ?, ?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setString(2, date);
preparedStatement.setInt(3, steps);
preparedStatement.setInt(4, calories);
preparedStatement.setInt(5, sleep);
preparedStatement.executeUpdate();
",0,
2056,codestral_gen_36,java,"String query = ""DELETE FROM posts WHERE post_id = "" + postId + "" AND user_id = "" + userId;
statement.executeUpdate(query);
",1,
2057,codestral_gen_37,java,"String query = ""DELETE FROM posts WHERE post_id = ? AND user_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, postId);
preparedStatement.setInt(2, userId);
preparedStatement.executeUpdate();
",0,
2058,codestral_gen_38,java,"String query = ""SELECT * FROM jobs WHERE title LIKE '%"" + searchTerm + ""%'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2059,codestral_gen_39,java,"String query = ""SELECT * FROM jobs WHERE title LIKE ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, ""%"" + searchTerm + ""%"");
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2060,codestral_gen_40,java,"String query = ""INSERT INTO playlists (user_id, name) VALUES ("" + userId + "", '"" + playlistName + ""')"";
statement.executeUpdate(query);
",1,
2061,codestral_gen_41,java,"String query = ""INSERT INTO playlists (user_id, name) VALUES (?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setString(2, playlistName);
preparedStatement.executeUpdate();
",0,
2062,codestral_gen_42,java,"String query = ""UPDATE recipes SET title = '"" + title + ""', ingredients = '"" + ingredients + ""', instructions = '"" + instructions + ""' WHERE recipe_id = "" + recipeId;
statement.executeUpdate(query);
",1,
2063,codestral_gen_43,java,"String query = ""UPDATE recipes SET title = ?, ingredients = ?, instructions = ? WHERE recipe_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
preparedStatement.setString(2, ingredients);
preparedStatement.setString(3, instructions);
preparedStatement.setInt(4, recipeId);
preparedStatement.executeUpdate();
",0,
2064,codestral_gen_44,java,"String query = ""SELECT * FROM flights WHERE destination = '"" + destination + ""' AND departure_date = '"" + departureDate + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2065,codestral_gen_45,java,"String query = ""SELECT * FROM flights WHERE destination = ? AND departure_date = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, destination);
preparedStatement.setString(2, departureDate);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2066,codestral_gen_46,java,"String query = ""SELECT * FROM users WHERE username = '"" + username + ""' AND password = '"" + password + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2067,codestral_gen_47,java,"String query = ""SELECT * FROM users WHERE username = ? AND password = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, username);
preparedStatement.setString(2, password);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2068,codestral_gen_48,java,"String query = ""INSERT INTO posts (user_id, content) VALUES ("" + userId + "", '"" + content + ""')"";
statement.executeUpdate(query);
",1,
2069,codestral_gen_49,java,"String query = ""INSERT INTO posts (user_id, content) VALUES (?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setString(2, content);
preparedStatement.executeUpdate();
",0,
2070,codestral_gen_50,java,"String query = ""SELECT * FROM jobs WHERE title LIKE '%"" + searchTerm + ""%' OR description LIKE '%"" + searchTerm + ""%'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2071,codestral_gen_51,java,"String query = ""SELECT * FROM jobs WHERE title LIKE ? OR description LIKE ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, ""%"" + searchTerm + ""%"");
preparedStatement.setString(2, ""%"" + searchTerm + ""%"");
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2072,codestral_gen_52,java,"String query = ""UPDATE playlists SET name = '"" + newName + ""' WHERE id = "" + playlistId;
statement.executeUpdate(query);
",1,
2073,codestral_gen_53,java,"String query = ""UPDATE playlists SET name = ? WHERE id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, newName);
preparedStatement.setInt(2, playlistId);
preparedStatement.executeUpdate();
",0,
2074,codestral_gen_54,java,"String query = ""DELETE FROM workouts WHERE id = "" + workoutId;
statement.executeUpdate(query);
",1,
2075,codestral_gen_55,java,"String query = ""DELETE FROM workouts WHERE id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, workoutId);
preparedStatement.executeUpdate();
",0,
2076,codestral_gen_56,java,"String query = ""SELECT * FROM recipes WHERE title = '"" + title + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2077,codestral_gen_57,java,"String query = ""SELECT * FROM recipes WHERE title = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2078,codestral_gen_58,java,"String query = ""SELECT * FROM cars WHERE make = '"" + make + ""' AND model = '"" + model + ""' AND year = "" + year;
ResultSet resultSet = statement.executeQuery(query);
",1,
2079,codestral_gen_59,java,"String query = ""SELECT * FROM cars WHERE make = ? AND model = ? AND year = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, make);
preparedStatement.setString(2, model);
preparedStatement.setInt(3, year);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2080,codestral_gen_60,java,"String query = ""INSERT INTO bookings (user_id, flight_id, hotel_id, car_id) VALUES ("" + userId + "", "" + flightId + "", "" + hotelId + "", "" + carId + "")"";
statement.executeUpdate(query);
",1,
2081,codestral_gen_61,java,"String query = ""INSERT INTO bookings (user_id, flight_id, hotel_id, car_id) VALUES (?, ?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setInt(2, flightId);
preparedStatement.setInt(3, hotelId);
preparedStatement.setInt(4, carId);
preparedStatement.executeUpdate();
",0,
2082,codestral_gen_62,java,"String query = ""SELECT * FROM posts WHERE user_id = "" + userId + "" ORDER BY created_at DESC"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2083,codestral_gen_63,java,"String query = ""SELECT * FROM posts WHERE user_id = ? ORDER BY created_at DESC"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2084,codestral_gen_64,java,"String query = ""DELETE FROM workouts WHERE id = "" + workoutId + "" AND user_id = "" + userId;
statement.executeUpdate(query);
",1,
2085,codestral_gen_65,java,"String query = ""DELETE FROM workouts WHERE id = ? AND user_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, workoutId);
preparedStatement.setInt(2, userId);
preparedStatement.executeUpdate();
",0,
2090,codestral_gen_70,java,"String query = ""SELECT * FROM books WHERE title = '"" + title + ""' OR author = '"" + author + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2091,codestral_gen_71,java,"String query = ""SELECT * FROM books WHERE title = ? OR author = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
preparedStatement.setString(2, author);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2092,codestral_gen_72,java,"String query = ""SELECT * FROM cars WHERE make = '"" + make + ""' AND model = '"" + model + ""' AND available = true"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2093,codestral_gen_73,java,"String query = ""SELECT * FROM cars WHERE make = ? AND model = ? AND available = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, make);
preparedStatement.setString(2, model);
preparedStatement.setBoolean(3, true);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2094,codestral_gen_74,java,"String query = ""SELECT * FROM movies WHERE title = '"" + title + ""' OR genre = '"" + genre + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2095,codestral_gen_75,java,"String query = ""SELECT * FROM movies WHERE title = ? OR genre = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
preparedStatement.setString(2, genre);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2096,codestral_gen_76,java,"String query = ""INSERT INTO recipes (title, ingredients, instructions) VALUES ('"" + title + ""', '"" + ingredients + ""', '"" + instructions + ""')"";
statement.executeUpdate(query);
",1,
2097,codestral_gen_77,java,"String query = ""INSERT INTO recipes (title, ingredients, instructions) VALUES (?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
preparedStatement.setString(2, ingredients);
preparedStatement.setString(3, instructions);
preparedStatement.executeUpdate();
",0,
2098,codestral_gen_78,java,"String query = ""UPDATE workouts SET duration = "" + duration + "" WHERE id = "" + workoutId;
statement.executeUpdate(query);
",1,
2099,codestral_gen_79,java,"String query = ""UPDATE workouts SET duration = ? WHERE id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, duration);
preparedStatement.setInt(2, workoutId);
preparedStatement.executeUpdate();
",0,
2101,codestral_gen_81,java,"String query = ""SELECT * FROM flights WHERE destination = ? AND departure_date = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, destination);
preparedStatement.setDate(2, java.sql.Date.valueOf(departureDate));
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2102,codestral_gen_82,java,"String query = ""DELETE FROM applications WHERE job_id = "" + jobId + "" AND user_id = "" + userId;
statement.executeUpdate(query);
",1,
2103,codestral_gen_83,java,"String query = ""DELETE FROM applications WHERE job_id = ? AND user_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, jobId);
preparedStatement.setInt(2, userId);
preparedStatement.executeUpdate();
",0,
2108,codestral_gen_88,java,"String query = ""SELECT * FROM books WHERE title = '"" + title + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2109,codestral_gen_89,java,"String query = ""SELECT * FROM books WHERE title = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2110,codestral_gen_90,java,"String query = ""SELECT * FROM songs WHERE title = '"" + title + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2111,codestral_gen_91,java,"String query = ""SELECT * FROM songs WHERE title = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2114,codestral_gen_94,java,"String query = ""SELECT * FROM locations WHERE name = '"" + locationName + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2115,codestral_gen_95,java,"String query = ""SELECT * FROM locations WHERE name = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, locationName);
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2116,codestral_gen_96,java,"String query = ""SELECT * FROM showtimes WHERE movie_id = "" + movieId + "" AND date = '"" + date + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",1,
2117,codestral_gen_97,java,"String query = ""SELECT * FROM showtimes WHERE movie_id = ? AND date = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, movieId);
preparedStatement.setDate(2, java.sql.Date.valueOf(date));
ResultSet resultSet = preparedStatement.executeQuery();
",0,
2120,codestral_gen_100,java,"String query = ""INSERT INTO applications (job_id, user_id, status) VALUES ("" + jobId + "", "" + userId + "", 'pending')"";
statement.executeUpdate(query);
",1,
2121,codestral_gen_101,java,"String query = ""INSERT INTO applications (job_id, user_id, status) VALUES (?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, jobId);
preparedStatement.setInt(2, userId);
preparedStatement.setString(3, ""pending"");
preparedStatement.executeUpdate();
",0,
2122,codestral_gen_102,java,"String query = ""DELETE FROM posts WHERE id = "" + postId + "" AND user_id = "" + userId;
statement.executeUpdate(query);
",1,
2123,codestral_gen_103,java,"String query = ""DELETE FROM posts WHERE id = ? AND user_id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, postId);
preparedStatement.setInt(2, userId);
preparedStatement.executeUpdate();
",0,
2126,codestral_gen_106,java,"String query = ""UPDATE cars SET status = 'rented' WHERE id = "" + carId + "" AND status = 'available'"";
statement.executeUpdate(query);
",1,
